Date,PM10_BEHALA,PM10_SHYAMBAZAR,PM10_DUNLOP,PM10_MAULALI,PM10_SALTLAKE,PM10_MINTOPARK,PM10_ULTODANGA,PM10_BAISHNABGHATA,PM10_TOLLYGAUNGE,PM10_PICNICGARDEN,PM10_BELIAGHATA,PM10_MOMINPORE,PM10_TOPSIA,PM10_HYDEROAD,PM10_GARIAHAT,PM10_PARIBESHBHAWAN,PM10_RAJBHAWAN,PM10_RAJARHAT
"Monthly average August, 2018",52.3,59.1,59.3,56,40.9,46.6,50.6,41.2,39.7,35.3,43.1,43,55.1,78.6,45.7,42,22.7,32
"Monthly average September, 2018",57.9,75,81.2,69.4,44,63.2,70.3,51.4,48.4,45.6,50.4,42.5,65.3,96.1,59.4,64.5,36.4,39.6
"Monthly average October, 2018",123.6,131.2,145.3,134,91.9,107.6,123.5,96,100.5,81,97.6,90.5,132.9,157.1,114.4,104.4,91.4,68.4
"Monthly average November, 2018",176.1,245.1,245.9,176.2,161.2,177.3,198.1,163.3,155.4,150.9,140.8,139.4,225.5,248.8,155.7,173.4,132.7,136.7
"Monthly average December, 2018",247,258.1,304.3,266.6,204.3,223,266.1,207.3,180.7,188.9,199.2,196.6,265.9,257.6,215.1,217.8,192.1,159.4
"Monthly average January, 2019",247.4,271.85,315.48,283.45,212.51,251,277.74,214.66,208.18,200.08,200.44,204.59,265.7,265.55,226.91,250.96,257.4,151.2
"Monthly average February, 2019",186.62,184.29,213.76,206,148,167.71,189.8,156.44,135.83,146.18,129.54,143.58,202.33,192.41,167.33,154.66,186.62,127.48
"Monthly average March, 2019",133.22,135.48,143.36,131.37,95.55,120.46,137.33,97,104.55,85.51,98.59,101.07,140.03,152.81,105.88,116,133.22,68
"Monthly average April, 2019",65.05,75.4,60.24,78.33,75.04,81.45,181,86.2,65.73,60.45,73.2,72.35,87.45,128.41,69.08,64.74,65.05,71.7
"Monthly average May, 2019",55.7,69.17,57.42,79.79,69.21,55.68,67.58,60.65,56.73,60.58,65.53,58.22,71.06,120,75.96,55.49,55.7,63.63
"Monthly average June, 2019",34.8,60.54,63.57,61.48,50.07,72.81,66.81,59.7,57.32,63.73,50.6,51.16,56.2,127.35,67.39,55.15,44.8,56.57
"Monthly average July, 2019",45.31,57.2,59.66,63.94,39.02,75.67,59.5,47.09,71.61,70.82,39.98,47.98,56.57,123.71,61.32,56.79,45.31,52.97
"Monthly average August, 2019",42.68,54.98,55.6,57.59,57.18,66.84,43.74,49.41,61.99,51.35,42.97,39.87,49.78,119.44,43.2,51.29,42.68,48.88
"Monthly average September, 2019",40.23,47,59.89,58.91,38.81,42.97,43.3,41.08,39.89,66.38,35.55,36.78,42.28,114.58,27.97,49.66,40.23,35.16
"Monthly average October, 2019",103.92,83.49,109.21,98.6,92.79,55.06,85.27,89.26,57.89,92.12,72.57,63.18,93.88,110.94,32.49,86.96,103.92,83.49
"Monthly average November, 2019",103.92,109.11,177.45,154.9,98.59,112.66,135.4,160.37,89.66,124.36,160.79,55.26,140.3,175.9,47.29,104.41,103.92,164.26
"Monthly average December, 2019",124.1,173.53,201.2,164.66,77.19,116.5,195.5,197.28,115.93,109.47,188.41,59.39,171.09,184.29,50.01,136.41,124.1,188.9
